ID;Name;CB0;MB0;CB15;MB15;CB30;MB30;CB45;MB40;CB55;MB75;MB98.5
Monoun A OTU1;Candidatus Nitrospira ;1;1;1;0;0;0;0;0;0;0;0
Monoun A OTU2;Methanotorris igneus;0;0;1;1;1;0;0;0;0;0;0
Monoun A OTU3;Anaerobic Methanogenic archaeon;0;0;1;0;1;0;0;1;1;0;0
Monoun A OTU4;Methanococcus aeolicus;0;0;0;0;1;0;0;0;0;0;0
Monoun A OTU5;Dehalogenimonas alkenigignens;0;0;0;0;1;0;0;0;0;0;0
Monoun A OTU6;Methanoregula formicicum;0;0;0;1;2;0;0;0;0;0;1
Monoun A OTU7;Nitratiruptor sp.;0;0;0;0;0;0;1;1;0;0;0
Monoun A OTU8;Dehalococcoidia bacterium;0;0;0;0;0;0;1;0;1;0;0
Monoun A OTU9;Gemmatimonas aurantiaca;0;0;0;0;0;0;2;0;0;1;0
Monoun A OTU10;Chloroflexi bacterium;0;0;0;0;0;0;2;0;0;0;1
Monoun A OTU11;Methanothermococcus sp.;0;0;0;0;0;0;1;0;0;0;0
Monoun A OTU12;Thermofilum sp;0;0;0;0;0;0;1;0;0;0;0
Monoun A OTU13;Exiguobacterium sibiricum;0;0;0;0;0;0;0;0;0;0;0
Monoun A OTU14;Archaeoglobus sulfaticallidus;0;0;0;1;0;0;0;0;0;0;0
Monoun A OTU15;Paenisporosarcina quisquiliarum;0;0;0;1;0;0;0;0;0;0;0
Monoun A OTU16;Bacterium E53;0;0;0;0;0;0;0;0;0;1;0
Monoun A OTU17;Methanococcus sp;0;0;0;0;0;1;0;0;0;0;0
Monoun A OTU18;Candidate division WWE3;0;0;0;0;0;0;0;0;0;1;1
